state,year,sphere,inspections_conducted,irregularities_detected,irregularities_rectified,prosecutions_launched,convictions,claims_preferred,claims_decided,source_citation,reporting_status
Rajasthan,2018,State,12400,15800,12600,610,380,490,370,Labour Bureau Annual Report on Working of Minimum Wages Act 1948 Table 7,Reported
Rajasthan,2019,State,13600,17400,13900,690,430,550,420,Labour Bureau Annual Report on Working of Minimum Wages Act 2019 Table 7,Reported
Rajasthan,2020,State,6700,8400,6700,310,180,260,190,Labour Bureau Annual Report on Working of Minimum Wages Act 2020 Table 7,Reported
Rajasthan,2021,State,9800,12500,10100,480,290,380,280,Labour Bureau Annual Report on Working of Minimum Wages Act 2021 Table 7,Reported
Rajasthan,2022,State,11900,15200,12300,590,370,470,350,Ministry of Labour & Employment Annual Report 2022-23 Table 8,Reported
Bihar,2018,State,4200,2100,1400,80,30,90,50,Labour Bureau Annual Report on Working of Minimum Wages Act 1948 Table 7,Partially Reported
Bihar,2019,State,0,0,0,0,0,0,0,Labour Bureau Annual Report on Working of Minimum Wages Act 2019 Table 7,Return Not Received
Bihar,2020,State,0,0,0,0,0,0,0,Labour Bureau Annual Report on Working of Minimum Wages Act 2020 Table 7,Return Not Received
Bihar,2021,State,3100,1800,1100,60,20,70,40,Labour Bureau Annual Report on Working of Minimum Wages Act 2021 Table 7,Partially Reported
Bihar,2022,State,3800,2400,1600,90,40,110,60,Ministry of Labour & Employment Annual Report 2022-23 Table 8,Partially Reported
Central Sphere,2018,Central,9187,77399,58420,1651,2205,1890,1420,PIB & Ministry of Labour Annual Report 2018-19,Reported
Central Sphere,2019,Central,8327,61489,46100,2081,651,1940,1530,PIB & Ministry of Labour Annual Report 2019-20,Reported
Central Sphere,2020,Central,7709,60528,44300,1633,413,1680,1290,PIB & Ministry of Labour Annual Report 2020-21,Reported
Central Sphere,2021,Central,5022,35983,8726,492,167,1120,840,Lok Sabha Unstarred Question No. 2516 (18.12.2023) Annexure,Reported
Central Sphere,2022,Central,6240,41200,12400,680,240,1350,980,Ministry of Labour & Employment Annual Report 2022-23,Reported
